method,variance,d,MAP
0,100,10,0.00257491995725
1,100,10,0.0115411330467
2,100,10,0.00055508117914
3,100,10,0.0132576216687
4,100,10,0.0109194220663
0,100,20,0.00259178536843
1,100,20,0.0115411330467
2,100,20,0.000547858862659
3,100,20,0.0132576216687
4,100,20,0.0109194220663
0,100,40,0.00257945002627
1,100,40,0.0115411330467
2,100,40,0.000559872635083
3,100,40,0.0132576216687
4,100,40,0.0109197182614
0,100,80,0.0025880962388
1,100,80,0.0115411330467
2,100,80,0.000541028133535
3,100,80,0.0132576216687
4,100,80,0.010919423835
0,10,10,0.0049711181338
1,10,10,0.0115411330467
2,10,10,0.000556501824951
3,10,10,0.0132576216687
4,10,10,0.0109197182614
0,10,20,0.00592067882059
1,10,20,0.0115411330467
2,10,20,0.000612940011151
3,10,20,0.0132576216687
4,10,20,0.010919421865
0,10,40,0.0058763701249
1,10,40,0.0115411330467
2,10,40,0.000538393936933
3,10,40,0.0132576216687
4,10,40,0.0109194272274
0,10,80,0.00599727826752
1,10,80,0.0115411330467
2,10,80,0.000617470288895
3,10,80,0.0132576216687
4,10,80,0.0109194207492
0,1.0,10,0.002090737436151316
1,1.0,10,0.01292322336743897
2,1.0,10,0.0007201223717956299
3,1.0,10,0.014305675409777506
4,1.0,10,0.01228583085703181
0,1.0,20,0.002680483124962397
1,1.0,20,0.01292322336743897
2,1.0,20,0.0007994431850040845
3,1.0,20,0.014305675409777506
4,1.0,20,0.01228583085703181
0,1.0,40,0.0023463894010721325
1,1.0,40,0.012921726083512013
2,1.0,40,0.0006978208380023958
3,1.0,40,0.014305675409777506
4,1.0,40,0.01228583085703181
0,1.0,80,0.0028392385008170727
1,1.0,80,0.012921726083512013
2,1.0,80,0.0007394349802689306
3,1.0,80,0.014307090425356826
4,1.0,80,0.012285045695948162
0,0.1,10,0.001963138549318022
1,0.1,10,0.011309157357555144
2,0.1,10,0.00027110240679006713
3,0.1,10,0.010375757692537879
4,0.1,10,0.0006295181549768983
0,0.1,20,0.0014481926758756712
1,0.1,20,0.011333174597268502
2,0.1,20,0.00030400099360104954
3,0.1,20,0.01040061327542495
4,0.1,20,0.0005921883508129874
0,0.1,40,0.0013790311046702744
1,0.1,40,0.011269430515387723
2,0.1,40,0.0003711874771436362
3,0.1,40,0.010401801899631411
4,0.1,40,0.0007025470318596518
0,0.1,80,0.002055453781819986
1,0.1,80,0.01132212698738351
2,0.1,80,0.00032733997669490595
3,0.1,80,0.010392993681629608
4,0.1,80,0.0008152442821352427
0,0.01,10,0.000848673324623211
1,0.01,10,0.0034523951304038826
2,0.01,10,0.0002719058864401851
3,0.01,10,0.0016361299822824798
4,0.01,10,0.0007689098072732192
0,0.01,20,0.0017134882385780818
1,0.01,20,0.003450105427037014
2,0.01,20,0.0005027756012787268
3,0.01,20,0.001004557592485262
4,0.01,20,0.0010470305195897922
0,0.01,40,0.0015743271802326564
1,0.01,40,0.003797147681013039
2,0.01,40,0.0014084460132667712
3,0.01,40,0.002537869884821429
4,0.01,40,0.0013998412097958927
0,0.01,80,0.00301486425385719
1,0.01,80,0.0048866329634737245
2,0.01,80,0.0021026020919519928
3,0.01,80,0.006817723199929245
4,0.01,80,0.0023097352419162815
0,0.001,10,0.0007520848560789018
1,0.001,10,0.002933371215979053
2,0.001,10,0.00030189314405979547
3,0.001,10,0.0008480017784384104
4,0.001,10,0.0010630310990296622
0,0.001,20,0.0015911295139726489
1,0.001,20,0.0030481946447570695
2,0.001,20,0.0004195373227011445
3,0.001,20,0.0030688655330125725
4,0.001,20,0.0013919968491379238
0,0.001,40,0.0021132078514467063
1,0.001,40,0.003874454994870248
2,0.001,40,0.0012153122207226006
3,0.001,40,0.0024780425276946976
4,0.001,40,0.0016168566110429158
0,0.001,80,0.003656502435974204
1,0.001,80,0.005014003958648552
2,0.001,80,0.0023519775931137195
3,0.001,80,0.0021310698491763492
4,0.001,80,0.0021397785169004055
