,tid,sid,artist_name_x,song_title_x,year,artist_name_y,song_title_y,centroid,plays,tag
0,TRMGUWH128F146903A,SOBOUPA12A6D4F81F1,Alliance Ethnik,Sincerité Et Jalousie,,,,0,8972,drjazzmrfunkmusic
1,TRMGUWH128F146903A,SOBOUPA12A6D4F81F1,Alliance Ethnik,Sincerité Et Jalousie,,,,5,8972,drjazzmrfunkmusic
2,TRMHVYM128F93234B3,SOUBEXV12AB01804A4,Miley Cyrus,Don't Walk Away,2009.0,Miley Cyrus,Don't Walk Away,7,656,Miley Cyrus
3,TRMNYZQ128F1459E10,SOBABRB12A6701DF4B,Shania Twain,Nah!,2002.0,Shania Twain,Nah!,4,2513,country
4,TRMDUPQ128F428729B,SOZEBAZ12AF72A80C8,Thursday,Voices On A String (Album Version),2007.0,Thursday,Voices On A String (Album Version),2,2771,
5,TRMOPBS128F4227B51,SOTLHUV12A6D4FC541,Uncle Kracker,Follow Me (Explicit LP Version),2000.0,Uncle Kracker,Follow Me (Explicit LP Version),1,1648,"country, uncle kracker"
6,TRMOPBS128F4227B51,SOTLHUV12A6D4FC541,Uncle Kracker,Follow Me (Explicit LP Version),2000.0,Uncle Kracker,Follow Me (Explicit LP Version),2,1648,"country, uncle kracker"
7,TRMOPBS128F4227B51,SOTLHUV12A6D4FC541,Uncle Kracker,Follow Me (Explicit LP Version),2000.0,Uncle Kracker,Follow Me (Explicit LP Version),4,1648,"country, uncle kracker"
8,TRMOPBS128F4227B51,SOTLHUV12A6D4FC541,Uncle Kracker,Follow Me (Explicit LP Version),2000.0,Uncle Kracker,Follow Me (Explicit LP Version),8,1648,"country, uncle kracker"
9,TRMYDQF128F4270F2F,SOQGSUC12A8C13B66D,Colossal,Brave The Elements,,,,8,2461,"chicago, math rock, Math-rock"
10,TRGWVYH12903D019BA,SOIMTII12A6D4F662A,Jag Panzer,Reign Of The Tyrants,1984.0,Jag Panzer,Reign Of The Tyrants,3,1834,"metal, heavy metal, rock n roll"
11,TRGWXUG128F148469F,SORWLJM12A6D4F9C0C,Buckcherry,Crazy Bitch (Album Version),2006.0,Buckcherry,Crazy Bitch (Album Version),2,1682,hard rock
12,TRGWXUG128F148469F,SORWLJM12A6D4F9C0C,Buckcherry,Crazy Bitch (Album Version),2006.0,Buckcherry,Crazy Bitch (Album Version),8,1682,hard rock
13,TRGXQES128F42BA5EB,SOAUWYT12A81C206F1,Björk,Undo,2001.0,Björk,Undo,1,33179,electronic
14,TRGXQES128F42BA5EB,SOAUWYT12A81C206F1,Björk,Undo,2001.0,Björk,Undo,4,33179,electronic
15,TRHGBSJ12903CC64A7,SONXUQR12AB0186C9F,Seine,So far so long,2007.0,Seine,So far so long,5,994,
16,TRHHHKS128F92F98D5,SOXWYZP12AF72A42A6,Florence + The Machine,Cosmic Love,2009.0,Florence + The Machine,Cosmic Love,0,3547,indie
17,TRHHKEH128F423AFD7,SOXQIUR12A8AE4654A,Damero feat. Nevis Peak,Gestern_Morgen,2007.0,Damero feat. Nevis Peak,Gestern_Morgen,6,645,
18,TRHRTYE128F427EA7D,SOJSXJY12A8C13E32E,Clara Hill,Clara meets Slope - Hard To Say,2006.0,Clara Hill,Clara meets Slope - Hard To Say,0,3469,"electronic, chill"
19,TRHRJVA128F92DCB42,SODWXJW12AAA8C5C29,Olivia Newton-John,Hochmah (Interlude),2006.0,Olivia Newton-John,Hochmah (Interlude),9,2469,
20,TRHIVEJ128F14749AD,SOBFRNE12A6D4F7995,Dominique A,Le Courage Des Oiseaux,1991.0,Dominique A,Le Courage Des Oiseaux,3,5238,french
21,TRHNCIR128F42334A5,SOBXHDL12A81C204C0,Kanye West,Stronger,2007.0,Kanye West,Stronger,9,2263,Hip-Hop
22,TRUATNS128F423457D,SOBXHDL12A81C204C0,Kanye West,Stronger,2007.0,Kanye West,Stronger,9,2263,Hip-Hop
